Post_ID,Platform,Content_Type,Likes,Comments,Shares,Saves,Followers,Ad_Spend,Impressions,Reach,Post_Hour,Day,Total_Engagement,Engagement_Rate (%),CTR (%),Cost_Per_Engagement
123,YouTube,Text,15538,929,1652,1249,23904,37421,397578,86362,0,Sat,19368,81.02409638554217,4.8714969138131385,1.9321045022717884
124,LinkedIn,Carousel,12331,2621,807,911,91328,8033,81119,297183,15,Fri,16670,18.252890679747722,20.55005609043504,0.48188362327534495
125,Instagram,Reel,18582,2044,1577,1383,85195,10748,428620,62068,3,Sun,23586,27.68472328188274,5.502776352013439,0.45569405579581107
126,Twitter,Text,14611,1562,435,1453,165756,46693,405320,42595,7,Sun,18061,10.896136489780158,4.455985394256389,2.5852942804938817
127,YouTube,Carousel,11209,1710,1523,14,71500,5066,158120,85192,16,Tue,14456,20.21818181818182,9.142423475841133,0.35044272274488103
128,Instagram,Image,8544,2070,1128,559,39902,45272,252987,230787,20,Thu,12301,30.82802867024209,4.862305177736405,3.6803511909600846
129,Twitter,Reel,15705,1735,1051,1003,58606,48664,18628,140579,18,Sat,19494,33.26280585605569,104.6489156109083,2.4963578536985738
130,Twitter,Reel,13126,2397,1448,413,128574,49408,340609,181697,3,Thu,17384,13.520618476519358,5.103799371126424,2.8421537045559133
131,Twitter,Image,9421,2922,1452,1378,40571,11998,93210,60710,3,Fri,15173,37.39863449261788,16.278296320137326,0.7907467211494101
132,Instagram,Image,19748,1907,491,1480,74447,13764,110093,191326,7,Wed,23626,31.735328488723518,21.46003833122905,0.582578515195124
133,Instagram,Reel,5535,1809,1758,998,81752,34215,407484,276021,9,Tue,10100,12.354437811918974,2.4786249276045194,3.3876237623762377
134,Instagram,Image,8593,321,93,1219,92157,45379,350370,118290,15,Thu,10226,11.096281345963952,2.9186288780432115,4.437610013690593
135,LinkedIn,Video,6791,2790,1237,114,180010,15858,358900,133372,18,Sun,10932,6.072995944669741,3.0459738088604067,1.4506037321624587
136,Instagram,Carousel,2863,1137,275,1440,62203,38468,65734,17692,0,Tue,5715,9.187659759175602,8.694130891167433,6.731058617672791
137,Instagram,Carousel,3341,348,1961,1375,62805,36111,404920,38401,4,Sat,7025,11.18541517395112,1.7349105996246172,5.140355871886121
138,Instagram,Carousel,3157,2357,1777,975,77649,17077,71050,263613,1,Mon,8266,10.645339927107884,11.634060520760029,2.065932736511009
139,LinkedIn,Video,17034,368,904,1098,135294,10257,113726,168419,15,Sun,19404,14.342099427912547,17.062061445931448,0.5286023500309215
140,Instagram,Image,5674,2226,1434,35,45910,47210,419050,212709,12,Thu,9369,20.40731866695709,2.23577138766257,5.038958266623973
141,Twitter,Text,5511,1182,1749,241,158833,44560,49308,244564,5,Wed,8683,5.466748093909956,17.609718504096698,5.131866866290452
142,Instagram,Image,1687,2818,282,62,29992,45180,216350,298731,3,Sat,4849,16.167644705254737,2.241275710654033,9.317385027840793
143,Twitter,Reel,10114,777,210,665,92521,3665,97428,37973,6,Fri,11766,12.717112871672375,12.076610420002464,0.31149073601903793
144,Twitter,Carousel,6020,2099,1618,508,60448,35442,192809,293299,1,Thu,10245,16.948451561672844,5.313548641401594,3.4594436310395316
145,Twitter,Image,11788,211,917,187,74903,43358,455338,46314,22,Mon,13103,17.49329132344499,2.877642542462962,3.3090132030832633
146,LinkedIn,Text,4509,1702,332,734,181519,16734,225595,253769,9,Fri,7277,4.008946721830772,3.2256920587778986,2.2995740002748386
147,LinkedIn,Reel,5883,473,1638,92,15786,8840,170455,252197,13,Wed,8086,51.22260230584062,4.7437740166026225,1.0932475884244373
148,LinkedIn,Video,812,458,862,4,116316,12062,51420,176672,7,Tue,2136,1.8363767667388837,4.154025670945158,5.647003745318352
149,Instagram,Video,5506,922,881,1461,47706,7044,386963,9447,2,Tue,8770,18.383431853435628,2.2663665518408735,0.8031927023945268
150,Twitter,Text,12141,807,866,1189,114997,2063,146912,166590,2,Thu,15003,13.04642729810343,10.212235896318884,0.13750583216689996
151,LinkedIn,Reel,2533,803,340,1469,81587,22313,101680,248168,1,Fri,5145,6.306151715346808,5.059992132179386,4.336831875607386
152,LinkedIn,Carousel,3401,446,610,24,20611,27087,25771,232462,16,Mon,4481,21.74081800980059,17.387761437274456,6.04485605891542
153,Instagram,Image,16754,1926,596,507,9490,45779,422949,23010,18,Mon,19783,208.46153846153848,4.677396092673112,2.314057524136885
154,LinkedIn,Reel,11686,1783,1066,97,55004,40181,282624,105577,9,Wed,14632,26.601701694422225,5.177196557971015,2.7461044286495353
155,Instagram,Video,17563,540,1018,1291,196706,18205,86555,146645,11,Sat,20412,10.376907669313596,23.58269308532147,0.8918773270625122
156,YouTube,Text,5422,574,1948,661,101849,12464,17945,139762,22,Fri,8605,8.448782020442026,47.952075787127335,1.4484601975595583
157,LinkedIn,Text,14032,1630,1256,1416,134213,43550,12641,37355,10,Fri,18334,13.66037567150723,145.03599398781742,2.375368168430239
158,YouTube,Image,5357,1306,1511,1308,142449,27132,16232,38346,8,Tue,9482,6.6564173844674235,58.41547560374569,2.8614216410040076
159,Instagram,Text,13833,2929,1162,683,14903,42638,176398,92579,12,Sun,18607,124.8540562302892,10.54830553634395,2.291503197721288
160,Twitter,Text,13468,222,712,1132,150639,37427,208923,80449,5,Wed,15534,10.312070579332046,7.435275197082179,2.4093601132998583
161,LinkedIn,Reel,9877,958,982,26,184628,35048,438067,1268,13,Wed,11843,6.414520007799466,2.703467734387662,2.959385290889133
162,Instagram,Carousel,11349,1137,1418,54,31606,3749,418831,27755,21,Sat,13958,44.16250079098905,3.332609095315294,0.2685914887519702
163,Twitter,Image,12981,201,1822,1156,128116,35306,286399,258964,10,Wed,16160,12.61356895313622,5.642477801947632,2.184777227722772
164,Twitter,Reel,9687,1413,1641,1075,138332,25592,162781,246456,4,Fri,13816,9.987566145215858,8.48747703970365,1.8523451071221773
165,YouTube,Carousel,8891,2000,429,780,166339,49595,232880,19191,1,Sun,12100,7.274301276309224,5.195809000343524,4.0987603305785125
166,Instagram,Reel,8805,1114,591,297,194441,18451,319317,236615,6,Tue,10807,5.557984170005297,3.384411102446785,1.7073193300638474
167,Twitter,Reel,9358,714,810,1422,186132,28258,351035,183714,16,Wed,12304,6.610362538413598,3.5050635976469584,2.296651495448635
168,LinkedIn,Text,7933,558,1538,1041,21833,44758,451244,108665,5,Tue,11070,50.70306416891861,2.453218214535817,4.043179765130985
169,LinkedIn,Carousel,19370,1871,724,817,120256,35302,485115,26493,13,Sat,22782,18.944584885577434,4.696206054234563,1.5495566675445527
170,YouTube,Image,14345,163,1623,854,8498,32856,404284,114621,3,Wed,16985,199.8705577783008,4.201254563623592,1.9344127171033265
171,Twitter,Image,19137,1675,1455,558,130740,21621,381929,105037,2,Fri,22825,17.458314211411963,5.976241657480841,0.9472508214676889
172,Instagram,Carousel,15854,580,953,1269,182801,6577,436305,12824,10,Tue,18656,10.205633448394702,4.2759079084585325,0.35254073756432247
173,LinkedIn,Text,9380,1794,659,502,15518,19694,371903,93481,0,Thu,12335,79.4883361257894,3.3167250600290936,1.5965950547223349
174,Twitter,Video,12677,2297,478,1112,27254,8263,46832,194004,13,Sun,16564,60.776399794525574,35.36897847625555,0.4988529340738952
175,Twitter,Reel,2614,2431,572,202,86438,17205,269966,157734,5,Sat,5819,6.731992873504708,2.1554566130549775,2.9566935899639115
176,YouTube,Text,4069,814,1389,945,161617,8072,252638,32883,22,Wed,7217,4.465495585241651,2.8566565599791005,1.1184702785090759
177,LinkedIn,Carousel,19768,808,1980,239,139417,49967,21893,152358,16,Fri,22795,16.350229885881923,104.12003836842827,2.1920157929370476
178,LinkedIn,Reel,4666,620,1827,489,192438,45306,127901,258852,16,Tue,7602,3.9503632338727277,5.943659549182571,5.959747434885556
179,Instagram,Image,2296,2745,215,1036,182793,43876,341177,207526,22,Mon,6292,3.442144939904701,1.8442040348558082,6.973299427844882
180,LinkedIn,Video,17273,2831,1981,648,64829,40130,491553,162831,10,Fri,22733,35.066096962779,4.624730191861305,1.7652751506620332
181,Instagram,Image,19959,1816,1207,1338,98767,43002,277395,163223,21,Fri,24320,24.623609100205535,8.76728131365021,1.7681743421052631
182,LinkedIn,Carousel,11445,152,1948,684,112399,5691,89106,75159,6,Mon,14229,12.659365296844276,15.968621641640294,0.39995783259540374
183,YouTube,Reel,1409,281,1086,1221,14642,22113,306289,171328,12,Mon,3997,27.298183308291218,1.3049766723584588,5.532399299474606
184,LinkedIn,Carousel,964,1565,1101,242,88375,1953,256596,276399,7,Sun,3872,4.381329561527581,1.5089868898969585,0.5043904958677686
185,Instagram,Reel,12155,2483,219,506,94217,4963,86480,176238,7,Thu,15363,16.30597450566246,17.764801110083255,0.3230488836815726
186,Instagram,Text,5489,2103,904,1066,134412,38754,72215,220695,8,Thu,9562,7.113948159390531,13.241016409333243,4.0529177996235095
187,YouTube,Video,19847,2152,1806,1353,189454,40520,183909,89302,6,Thu,25158,13.279212896006417,13.6795915371189,1.61062087606328
188,LinkedIn,Text,11816,2121,1987,1452,169371,27869,40380,155426,21,Fri,17376,10.259135271091273,43.031203566121846,1.6038789134438305
189,LinkedIn,Text,12078,2470,1101,612,171107,11445,284349,212814,8,Sun,16261,9.503410146867166,5.718676696594677,0.7038312526904864
190,YouTube,Carousel,3103,468,471,161,120020,37759,213880,150630,10,Fri,4203,3.501916347275454,1.9651206283897513,8.983821080180823
191,LinkedIn,Video,14274,1748,1299,655,124937,20185,320103,70584,1,Fri,17976,14.38805157799531,5.61569244899298,1.1228860703159769
192,LinkedIn,Reel,13872,1442,1527,958,159655,8447,330092,161074,17,Thu,17799,11.148413767185495,5.3921331022866354,0.4745772234395191
193,Instagram,Reel,17715,2527,358,620,27105,34699,199857,193769,21,Tue,21220,78.2881387197934,10.617591577978255,1.6352026390197927
194,LinkedIn,Image,8059,2867,1262,1458,18736,33640,461991,14763,2,Sun,13646,72.833048676345,2.953737194014602,2.4651912648395133
195,LinkedIn,Reel,12080,515,1347,1256,47281,7954,185426,198660,17,Fri,15198,32.14399018633278,8.196261581439495,0.5233583366232399
196,YouTube,Carousel,19195,1719,1047,110,84351,17945,107177,278040,15,Fri,22071,26.16566490023829,20.593037685324276,0.8130578587286484
197,YouTube,Text,6681,1106,629,933,94932,38294,472366,26955,7,Fri,9349,9.848101799182572,1.979185631480674,4.096053053802546
198,Twitter,Text,16905,93,1603,1255,160384,12920,220885,115047,22,Thu,19856,12.380287310454909,8.989293071055075,0.6506849315068494
199,Instagram,Text,10065,68,376,749,82780,29984,337515,238448,7,Wed,11258,13.599903358299107,3.335555456794513,2.6633505063066263
200,LinkedIn,Video,11860,1054,188,708,178740,5560,161100,132220,5,Thu,13810,7.726306366789751,8.572315332091868,0.40260680666183923
201,LinkedIn,Reel,15022,1491,1305,272,60652,15389,458298,56046,1,Wed,18090,29.825891973883795,3.9472133851773297,0.8506909894969596
202,Twitter,Carousel,1046,2975,678,806,136030,24265,323036,64896,15,Thu,5505,4.0469014188046755,1.704144429723003,4.407811080835604
203,LinkedIn,Video,18318,2214,759,40,16718,41853,146875,208717,20,Sun,21331,127.59301351836343,14.52323404255319,1.962073976841217
